stno,h,lon,lat,loca
466880,9.7,121.442017,24.997647,新北市
466900,19,121.448906,25.164889,新北市
466910,837.6,121.529731,25.182586,臺北市
466920,5.3,121.514853,25.037658,臺北市
466930,607.1,121.544547,25.162078,臺北市
466940,26.7,121.740475,25.133314,基隆市
466990,16.1,121.613275,23.975128,花蓮縣
467050,20.6,121.047486,25.006744,桃園市
467060,24.9,121.857372,24.596736,宜蘭縣
467080,7.2,121.756528,24.763975,宜蘭縣
467410,40.8,120.204772,22.993239,臺南市
467420,8.1,120.2367,23.038386,臺南市
467440,2.3,120.315733,22.565992,高雄市
467480,26.9,120.432906,23.495925,嘉義市
467490,84,120.684075,24.145736,臺中市
467530,2413.4,120.813242,23.508208,嘉義縣
467540,8.1,120.903789,22.355675,臺東縣
467550,3844.8,120.959522,23.487614,南投縣
467571,26.9,121.014219,24.827853,新竹縣
467590,22.3,120.746339,22.003897,屏東縣
467610,33.5,121.373428,23.097486,臺東縣
467650,1017.5,120.90805,23.881325,南投縣
467660,9,121.154586,22.752211,臺東縣
467770,31.7,120.523381,24.256003,臺中市
C0A520,48,121.402008,24.974944,新北市
C0A530,300,121.709378,24.938203,新北市
C0A540,401,121.745894,24.892761,新北市
C0A550,422,121.823711,24.971197,新北市
C0A560,405,121.502811,24.776203,新北市
C0A570,360,121.597992,24.848222,新北市
C0A640,241,121.662931,24.993858,新北市
C0A650,287,121.742892,25.002719,新北市
C0A660,97,121.801147,25.113169,新北市
C0A860,362,121.632969,25.165914,新北市
C0A870,685,121.608692,25.132153,新北市
C0A880,6,121.942083,25.017842,新北市
C0A890,40,121.864242,25.036003,新北市
C0A920,196,121.565258,25.263783,新北市
C0A931,216,121.595236,25.233153,新北市
C0A940,49,121.643967,25.223628,新北市
C0A950,60,121.923372,25.129036,新北市
C0A970,96,122.002058,25.007606,新北市
C0A980,11,121.469681,25.109508,臺北市
C0A9C0,35,121.537169,25.117494,臺北市
C0A9E0,26,121.503019,25.090253,臺北市
C0A9F0,35,121.57545,25.079422,臺北市
C0AC40,1079,121.522408,25.175675,臺北市
C0AC60,55,121.369728,24.939025,新北市
C0AC70,71,121.564597,25.037822,臺北市
C0AC80,40,121.575728,25.00235,臺北市
C0ACA0,25,121.446756,25.051478,新北市
C0AD00,86,121.501917,25.258131,新北市
C0AD10,27,121.403947,25.150211,新北市
C0AD30,20,121.472331,25.086594,新北市
C0AD40,32,121.445169,24.973208,新北市
C0AD50,84,121.346294,24.951533,新北市
C0AG90,25,121.490444,24.992647,新北市
C0AH00,38,121.658778,25.066881,新北市
C0AH10,30,121.508111,25.01125,新北市
C0AH30,755,121.780794,25.07125,新北市
C0AH40,426,121.577086,25.129142,臺北市
C0AH50,275,121.38084,25.072181,新北市
C0AH70,34,121.55042,25.04871,臺北市
C0AH80,68,121.628328,25.002703,新北市
C0AH90,660,121.58135,24.760717,新北市
C0AI00,188,121.42728,25.07445,新北市
C0AI10,76,121.54475,24.92184,新北市
C0AI20,25,121.519058,25.283128,新北市
