Depth (m),147E,156E,165E,180E,170W,155W,140W,125W,110W,95W,
1.00,29.78,30.14,29.63,29.06,28.91,29.28,29.68,28.82,28.22,27.75,
5.00,29.62,30.22,29.59,29.06,28.87,29.22,29.61,28.87,28.27,27.73,
10.00,29.38,30.18,29.57,29.06,28.85,29.17,29.63,28.91,28.27,27.71,
20.00,28.86,29.75,29.72,29.04,28.87,29.15,29.63,28.95,28.27,27.68,
30.00,28.27,28.97,29.48,29.02,28.93,29.17,29.62,28.94,28.26,27.67,
40.00,27.67,28.00,28.33,29.00,28.96,29.20,29.64,28.91,28.25,27.67,
45.00,27.37,27.50,27.61,29.01,28.95,29.19,29.64,28.88,28.25,27.67,
60.00,26.51,26.11,26.25,28.98,28.75,29.06,29.61,28.80,28.21,27.64,
100.00,22.23,22.24,22.51,21.90,28.25,29.18,28.59,28.67,27.90,27.23,
125.00,20.24,19.55,20.93,19.55,18.81,23.57,20.44,25.71,24.26,23.40,
140.00,19.57,18.65,19.07,18.12,17.19,19.81,17.01,20.98,19.69,19.18,
175.00,17.17,16.11,15.41,14.89,16.05,15.22,13.87,14.86,14.35,15.61,
200.00,15.00,14.20,15.06,13.56,13.78,14.35,13.63,13.68,13.71,15.11,
225.00,13.45,13.48,13.93,12.88,12.77,13.48,13.42,12.99,13.41,14.54,
300.00,11.39,11.90,11.56,11.77,11.54,11.86,11.68,11.46,12.20,12.51,
400.00,10.63,7.32,10.77,10.02,8.27,11.94,8.71,9.88,10.05,9.78,
500.00,7.98,8.04,8.07,8.40,8.19,8.22,8.01,7.58,7.61,8.09,
